iteration,vehicle_id,path_space_seq,path_time_seq,path_state_seq
1,1,40_5_40_40_,0_1_2_100_,100_100_100_100_
1,2,40_5_40_40_,0_1_2_100_,100_100_100_100_
1,3,40_5_40_40_,0_1_2_100_,100_100_100_100_
2,1,40_5_40_40_,0_1_2_100_,100_100_100_100_
2,2,40_5_40_40_,0_1_2_100_,100_100_100_100_
2,3,40_5_40_40_,0_1_2_100_,100_100_100_100_
3,1,40_5_40_40_,0_1_2_100_,100_100_100_100_
3,2,40_5_40_40_,0_1_2_100_,100_100_100_100_
3,3,40_5_40_40_,0_1_2_100_,100_100_100_100_
4,1,40_5_40_40_,0_1_2_100_,100_100_100_100_
4,2,40_5_40_40_,0_1_2_100_,100_100_100_100_
4,3,40_5_40_40_,0_1_2_100_,100_100_100_100_
5,1,40_5_4_5_40_40_,0_1_3_5_6_100_,100_100_80_60_60_60_
5,2,40_5_40_40_,0_1_2_100_,100_100_100_100_
5,3,40_5_40_40_,0_1_2_100_,100_100_100_100_
6,1,40_5_4_5_40_40_,0_1_3_5_6_100_,100_100_80_60_60_60_
6,2,40_5_40_40_,0_1_2_100_,100_100_100_100_
6,3,40_5_40_40_,0_1_2_100_,100_100_100_100_
7,1,40_5_4_5_40_40_,0_1_3_5_6_100_,100_100_80_60_60_60_
7,2,40_5_40_40_,0_1_2_100_,100_100_100_100_
7,3,40_5_40_40_,0_1_2_100_,100_100_100_100_
8,1,40_5_4_5_40_40_,0_1_3_5_6_100_,100_100_80_60_60_60_
8,2,40_5_40_40_,0_1_2_100_,100_100_100_100_
8,3,40_5_40_40_,0_1_2_100_,100_100_100_100_
9,1,40_5_4_5_6_5_40_40_,0_1_3_5_9_13_14_100_,100_100_80_60_40_20_20_20_
9,2,40_5_40_40_,0_1_2_100_,100_100_100_100_
9,3,40_5_40_40_,0_1_2_100_,100_100_100_100_
10,1,40_5_4_3_4_5_40_40_,0_1_3_7_11_13_14_100_,100_100_80_60_40_20_20_20_
10,2,40_5_6_5_40_40_,0_1_5_9_10_100_,100_100_80_60_60_60_
10,3,40_5_40_40_,0_1_2_100_,100_100_100_100_
11,1,40_5_35_4_3_1_3_4_5_40_40_,0_1_1_3_7_11_15_19_21_22_100_,100_100_100_100_80_60_40_20_0_0_0_
11,2,40_5_6_2_6_5_40_40_,0_1_5_10_15_19_20_100_,100_100_80_60_40_20_20_20_
11,3,40_5_4_3_4_5_40_40_,0_1_3_7_11_13_14_100_,100_100_80_60_40_20_20_20_
12,1,40_5_40_40_,0_1_2_100_,100_100_100_100_
12,2,40_5_6_2_6_5_40_40_,0_1_5_10_15_19_20_100_,100_100_80_60_40_20_20_20_
12,3,40_5_4_3_1_3_4_33_5_40_40_,0_1_3_7_11_15_19_19_21_22_100_,100_100_80_60_40_20_0_0_0_0_0_
13,1,40_5_40_40_,0_1_2_100_,100_100_100_100_
13,2,40_5_6_2_6_5_40_40_,0_1_5_10_15_19_20_100_,100_100_80_60_40_20_20_20_
13,3,40_5_35_4_3_1_3_4_5_40_40_,0_1_1_3_7_11_15_19_21_22_100_,100_100_100_100_80_60_40_20_0_0_0_
14,1,40_5_4_5_40_40_,0_1_3_5_6_100_,100_100_80_60_60_60_
14,2,40_5_6_2_6_5_40_40_,0_1_5_10_15_19_20_100_,100_100_80_60_40_20_20_20_
14,3,40_5_4_3_1_3_4_33_5_40_40_,0_1_3_7_11_15_19_19_21_22_100_,100_100_80_60_40_20_0_0_0_0_0_
15,1,40_5_40_40_,0_1_2_100_,100_100_100_100_
15,2,40_5_6_2_6_5_40_40_,0_1_5_10_15_19_20_100_,100_100_80_60_40_20_20_20_
15,3,40_5_35_4_3_1_3_4_5_40_40_,0_1_1_3_7_11_15_19_21_22_100_,100_100_100_100_80_60_40_20_0_0_0_
16,1,40_5_4_5_40_40_,0_1_3_5_6_100_,100_100_80_60_60_60_
16,2,40_5_6_2_6_5_40_40_,0_1_5_10_15_19_20_100_,100_100_80_60_40_20_20_20_
16,3,40_5_4_3_1_3_4_33_5_40_40_,0_1_3_7_11_15_19_19_21_22_100_,100_100_80_60_40_20_0_0_0_0_0_
17,1,40_5_35_4_3_1_2_6_5_40_40_,0_1_1_3_7_11_17_22_26_27_100_,100_100_100_100_80_60_40_20_0_0_0_
17,2,40_5_6_2_1_3_4_33_5_40_40_,0_1_5_10_16_20_24_24_26_27_100_,100_100_80_60_40_20_0_0_0_0_0_
