iteration,vehicle_id,path_space_seq,path_time_seq,path_state_seq
1,1,955_5_551_5_955_955_,0_1_2_3_4_200_,100_100_80_80_80_80_
1,2,955_5_551_5_955_955_,0_1_2_3_4_200_,100_100_80_80_80_80_
1,3,955_5_551_5_955_955_,0_1_2_3_4_200_,100_100_80_80_80_80_
1,4,955_5_551_5_955_955_,0_1_2_3_4_200_,100_100_80_80_80_80_
2,1,955_5_551_5_955_955_,0_1_2_3_4_200_,100_100_80_80_80_80_
2,2,955_5_551_5_955_955_,0_1_2_3_4_200_,100_100_80_80_80_80_
2,3,955_5_551_5_955_955_,0_1_2_3_4_200_,100_100_80_80_80_80_
2,4,955_5_551_5_955_955_,0_1_2_3_4_200_,100_100_80_80_80_80_
3,1,955_5_955_955_,0_1_2_200_,100_100_100_100_
3,2,955_5_955_955_,0_1_2_200_,100_100_100_100_
3,3,955_5_955_955_,0_1_2_200_,100_100_100_100_
3,4,955_5_551_5_955_955_,0_1_2_3_4_200_,100_100_80_80_80_80_
4,1,955_5_955_955_,0_1_2_200_,100_100_100_100_
4,2,955_5_955_955_,0_1_2_200_,100_100_100_100_
4,3,955_5_955_955_,0_1_2_200_,100_100_100_100_
4,4,955_5_551_5_955_955_,0_1_2_3_4_200_,100_100_80_80_80_80_
5,1,955_5_551_550_4_550_549_3_549_547_1_547_548_2_548_550_551_5_955_955_,0_1_2_6_7_8_10_11_12_16_17_18_20_21_22_26_30_31_32_200_,100_100_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_0_
5,2,955_5_955_955_,0_1_2_200_,100_100_100_100_
5,3,955_5_955_955_,0_1_2_200_,100_100_100_100_
5,4,955_5_955_955_,0_1_2_200_,100_100_100_100_
6,1,955_5_551_550_4_550_549_3_549_547_1_547_548_2_548_550_551_5_955_955_,0_1_2_6_7_8_10_11_12_16_17_18_20_21_22_26_30_31_32_200_,100_100_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_0_
6,2,955_5_955_955_,0_1_2_200_,100_100_100_100_
6,3,955_5_955_955_,0_1_2_200_,100_100_100_100_
6,4,955_5_955_955_,0_1_2_200_,100_100_100_100_
7,1,955_5_551_550_4_550_549_3_549_547_1_547_548_2_548_550_551_5_955_955_,0_1_2_6_7_8_10_11_12_16_17_18_20_21_22_26_30_31_32_200_,100_100_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_0_
7,2,955_5_955_955_,0_1_2_200_,100_100_100_100_
7,3,955_5_955_955_,0_1_2_200_,100_100_100_100_
7,4,955_5_955_955_,0_1_2_200_,100_100_100_100_
8,1,955_5_551_549_3_549_550_4_550_553_7_553_552_6_552_550_551_5_955_955_,0_1_2_7_8_9_11_12_13_16_17_18_21_22_23_28_32_33_34_200_,100_100_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_0_
8,2,955_5_939_551_550_553_7_553_552_6_552_548_2_548_547_1_547_549_3_549_551_5_955_955_,0_1_1_2_6_9_10_11_14_15_16_20_21_22_24_25_26_30_31_32_37_38_39_200_,100_100_100_100_100_100_100_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_
8,3,955_5_955_955_,0_1_2_200_,100_100_100_100_
8,4,955_5_955_955_,0_1_2_200_,100_100_100_100_
9,1,955_5_551_5_955_955_,0_1_2_3_4_200_,100_100_80_80_80_80_
9,2,955_5_551_550_4_550_548_2_548_547_1_547_549_3_549_551_5_955_955_,0_1_2_6_7_8_12_13_14_16_17_18_22_23_24_29_30_31_200_,100_100_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_
9,3,955_5_955_955_,0_1_2_200_,100_100_100_100_
9,4,955_5_955_955_,0_1_2_200_,100_100_100_100_
10,1,955_5_955_955_,0_1_2_200_,100_100_100_100_
10,2,955_5_551_550_4_550_548_2_548_547_1_547_549_3_549_551_5_955_955_,0_1_2_6_7_8_12_13_14_16_17_18_22_23_24_29_30_31_200_,100_100_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_
10,3,955_5_955_955_,0_1_2_200_,100_100_100_100_
10,4,955_5_955_955_,0_1_2_200_,100_100_100_100_
11,1,955_5_551_550_553_7_553_552_6_552_550_4_550_549_3_549_551_5_955_955_,0_1_2_6_9_10_11_14_15_16_21_22_23_25_26_27_32_33_34_200_,100_100_80_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_
11,2,955_5_939_551_550_553_7_553_552_6_552_548_2_548_547_1_547_549_3_549_551_5_955_955_,0_1_1_2_6_9_10_11_14_15_16_20_21_22_24_25_26_30_31_32_37_38_39_200_,100_100_100_100_100_100_100_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_
11,3,955_5_955_955_,0_1_2_200_,100_100_100_100_
11,4,955_5_955_955_,0_1_2_200_,100_100_100_100_
12,1,955_5_955_955_,0_1_2_200_,100_100_100_100_
12,2,955_5_551_550_4_550_548_2_548_547_1_547_549_3_549_551_5_955_955_,0_1_2_6_7_8_12_13_14_16_17_18_22_23_24_29_30_31_200_,100_100_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_
12,3,955_5_955_955_,0_1_2_200_,100_100_100_100_
12,4,955_5_955_955_,0_1_2_200_,100_100_100_100_
13,1,955_5_551_550_553_7_553_552_6_552_548_2_548_550_4_550_551_5_955_955_,0_1_2_6_9_10_11_14_15_16_20_21_22_26_27_28_32_33_34_200_,100_100_80_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_
13,2,955_5_955_955_,0_1_2_200_,100_100_100_100_
13,3,955_5_955_955_,0_1_2_200_,100_100_100_100_
13,4,955_5_955_955_,0_1_2_200_,100_100_100_100_
14,1,955_5_939_551_549_3_549_550_4_550_553_7_553_552_6_552_548_2_548_550_551_5_955_955_,0_1_1_2_7_8_9_11_12_13_16_17_18_21_22_23_27_28_29_33_37_38_39_200_,100_100_100_100_100_100_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_0_
14,2,955_5_551_550_4_550_548_2_548_547_1_547_549_3_549_551_5_955_955_,0_1_2_6_7_8_12_13_14_16_17_18_22_23_24_29_30_31_200_,100_100_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_
14,3,955_5_955_955_,0_1_2_200_,100_100_100_100_
14,4,955_5_955_955_,0_1_2_200_,100_100_100_100_
15,1,955_5_551_550_553_7_553_552_6_552_435_554_8_554_435_552_550_4_550_551_5_955_955_,0_1_2_6_9_10_11_14_15_16_18_21_22_23_26_28_33_34_35_39_40_41_200_,100_100_80_80_80_80_60_60_60_40_40_40_40_20_20_20_20_20_0_0_0_0_0_
15,2,955_5_955_955_,0_1_2_200_,100_100_100_100_
15,3,955_5_955_955_,0_1_2_200_,100_100_100_100_
15,4,955_5_955_955_,0_1_2_200_,100_100_100_100_
16,1,955_5_939_551_550_553_7_553_552_6_552_548_547_1_547_549_3_549_550_4_550_551_5_955_955_,0_1_1_2_6_9_10_11_14_15_16_20_22_23_24_28_29_30_32_33_34_38_39_40_200_,100_100_100_100_100_100_100_80_80_80_60_60_60_60_40_40_40_20_20_20_0_0_0_0_0_
16,2,955_5_939_551_550_552_619_617_595_593_47_593_594_48_594_589_43_589_591_45_591_613_440_439_614_554_8_554_435_552_550_551_5_955_955_,0_1_1_2_6_11_16_19_23_27_28_29_33_34_35_39_40_41_45_46_47_51_52_55_59_64_65_66_69_71_76_80_81_82_200_,100_100_100_100_100_100_100_100_100_100_100_80_80_80_60_60_60_40_40_40_20_20_20_20_20_20_20_0_0_0_0_0_0_0_0_
16,3,955_5_551_549_547_1_547_548_2_548_552_6_552_553_7_553_550_551_5_955_955_,0_1_2_7_11_12_13_15_16_17_21_22_23_26_27_28_31_35_36_37_200_,100_100_80_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_0_
16,4,955_5_955_955_,0_1_2_200_,100_100_100_100_
17,1,955_5_939_551_550_552_619_617_612_440_613_591_592_46_592_587_41_587_585_39_585_401_590_44_590_589_43_589_594_593_595_617_619_552_550_551_5_955_955_,0_1_1_2_6_11_16_19_23_27_28_32_37_38_39_43_44_45_49_50_51_53_56_57_58_62_63_64_68_72_76_80_83_88_93_97_98_99_200_,100_100_100_100_100_100_100_100_100_100_100_100_100_100_80_80_80_60_60_60_40_40_40_40_20_20_20_0_0_0_0_0_0_0_0_0_0_0_0_
17,2,955_5_939_551_550_552_619_617_595_593_47_593_594_48_594_589_43_589_591_45_591_613_440_439_614_554_8_554_435_552_550_551_5_955_955_,0_1_1_2_6_11_16_19_23_27_28_29_33_34_35_39_40_41_45_46_47_51_52_55_59_64_65_66_69_71_76_80_81_82_200_,100_100_100_100_100_100_100_100_100_100_100_80_80_80_60_60_60_40_40_40_20_20_20_20_20_20_20_0_0_0_0_0_0_0_0_
17,3,955_5_551_549_3_549_547_1_547_548_2_548_550_4_550_551_5_955_955_,0_1_2_7_8_9_13_14_15_17_18_19_23_24_25_29_30_31_200_,100_100_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_
17,4,955_5_955_955_,0_1_2_200_,100_100_100_100_
18,1,955_5_939_551_550_552_619_617_612_440_613_608_592_46_592_587_41_587_588_42_588_586_40_586_585_39_585_401_590_589_594_593_595_617_619_552_550_551_5_955_955_,0_1_1_2_6_11_16_19_23_27_28_32_36_37_38_42_43_44_48_49_50_54_55_56_61_62_63_65_68_72_76_80_84_88_91_96_101_105_106_107_200_,100_100_100_100_100_100_100_100_100_100_100_100_100_100_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_
18,2,955_5_939_551_550_552_619_617_595_593_47_593_594_48_594_589_43_589_591_45_591_613_440_439_438_540_583_37_583_540_438_437_436_496_495_551_5_955_955_,0_1_1_2_6_11_16_19_23_27_28_29_33_34_35_39_40_41_45_46_47_51_52_55_58_60_61_62_63_64_66_72_76_77_81_86_87_88_200_,100_100_100_100_100_100_100_100_100_100_100_80_80_80_60_60_60_40_40_40_20_20_20_20_20_20_20_20_0_0_0_0_0_0_0_0_0_0_0_
18,3,955_5_939_551_549_3_549_550_4_550_553_7_553_552_6_552_548_2_548_550_551_5_955_955_,0_1_1_2_7_8_9_11_12_13_16_17_18_21_22_23_27_28_29_33_37_38_39_200_,100_100_100_100_100_100_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_0_
