iteration,vehicle_id,path_space_seq,path_time_seq,path_state_seq
1,1,14_5_14_14_,0_1_2_30_,50_50_50_50_
1,2,14_5_14_14_,0_1_2_30_,50_50_50_50_
1,3,14_5_14_14_,0_1_2_30_,50_50_50_50_
2,1,14_5_14_14_,0_1_2_30_,50_50_50_50_
2,2,14_5_14_14_,0_1_2_30_,50_50_50_50_
2,3,14_5_14_14_,0_1_2_30_,50_50_50_50_
3,1,14_5_14_14_,0_1_2_30_,50_50_50_50_
3,2,14_5_14_14_,0_1_2_30_,50_50_50_50_
3,3,14_5_14_14_,0_1_2_30_,50_50_50_50_
4,1,14_5_6_3_1_5_14_14_,0_1_2_3_5_6_7_30_,50_50_20_20_10_10_10_10_
4,2,14_5_13_6_4_2_5_14_14_,0_1_1_2_3_5_6_7_30_,50_50_50_50_50_30_10_10_10_
4,3,14_5_14_14_,0_1_2_30_,50_50_50_50_
5,1,14_5_6_3_1_5_14_14_,0_1_2_3_5_6_7_30_,50_50_20_20_10_10_10_10_
5,2,14_5_13_6_4_2_4_9_2_5_14_14_,0_1_1_2_3_5_7_7_9_10_11_30_,50_50_50_50_50_30_20_20_20_0_0_0_
5,3,14_5_14_14_,0_1_2_30_,50_50_50_50_
6,1,14_5_6_3_1_5_14_14_,0_1_2_3_5_6_7_30_,50_50_20_20_10_10_10_10_
6,2,14_5_13_6_4_2_4_9_2_5_14_14_,0_1_1_2_3_5_7_7_9_10_11_30_,50_50_50_50_50_30_20_20_20_0_0_0_
6,3,14_5_13_6_3_4_3_11_1_5_14_14_,0_1_1_2_3_5_7_7_9_10_11_30_,50_50_50_50_50_30_0_0_0_0_0_0_
7,1,14_5_6_3_1_5_14_14_,0_1_2_3_5_6_7_30_,50_50_20_20_10_10_10_10_
7,2,14_5_13_6_4_2_4_9_2_5_14_14_,0_1_1_2_3_5_7_7_9_10_11_30_,50_50_50_50_50_30_20_20_20_0_0_0_
7,3,14_5_13_6_3_4_3_11_1_5_14_14_,0_1_1_2_3_5_7_7_9_10_11_30_,50_50_50_50_50_30_0_0_0_0_0_0_
