iteration,local_LB,local_UB,repeat_served,miss_served
1,6,76,,5;6;7;8;9;10;11;
2,13,76,,5;6;7;8;9;10;11;
3,20,76,,5;6;7;8;9;10;11;
4,24,46,,5;8;10;
5,27,40,,8;10;
6,29,29,,
7,29,29,,
8,29,29,,
9,29,29,,
10,29,29,,
11,29,29,,
12,29,29,,
13,29,29,,
14,29,29,,
15,29,29,,
16,29,29,,
17,29,29,,
18,29.0,29,,
19,29.0,29,,
20,29.0,29,,
21,29.0,29,,
22,29.0,29,,
23,29.0,29,,
24,29.0,29,,
25,29.0,29,,
26,29.0,29,,
27,29.0,29,,
28,29.0,29,,
29,29.0,29,,
30,29.0,29,,
31,29.0,29,,
32,29.0,29,,
33,29.0,29,,
34,29.0,29,,
35,29.0,29,,
36,29.0,29,,
37,29.0,29,,
38,29.0,29,,
39,29.0,29,,
40,29.0,29,,
计算总用时4.203181266784668秒
