iteration,vehicle_id,path_space_seq,path_time_seq,path_state_seq
1,1,940_5_551_5_940_940_,0_1_2_3_4_200_,100_100_80_80_80_80_
2,1,940_5_551_5_940_940_,0_1_2_3_4_200_,100_100_80_80_80_80_
3,1,940_5_551_5_940_940_,0_1_2_3_4_200_,100_100_80_80_80_80_
4,1,940_5_551_5_940_940_,0_1_2_3_4_200_,100_100_80_80_80_80_
5,1,940_5_551_550_4_550_549_3_549_547_1_547_548_2_548_550_551_5_940_940_,0_1_2_6_7_8_10_11_12_16_17_18_20_21_22_26_30_31_32_200_,100_100_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_0_
6,1,940_5_551_550_4_550_549_3_549_547_1_547_548_2_548_550_551_5_940_940_,0_1_2_6_7_8_10_11_12_16_17_18_20_21_22_26_30_31_32_200_,100_100_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_0_
7,1,940_5_551_550_4_550_549_3_549_547_1_547_548_2_548_550_551_5_940_940_,0_1_2_6_7_8_10_11_12_16_17_18_20_21_22_26_30_31_32_200_,100_100_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_0_
8,1,940_5_551_550_4_550_549_3_549_547_1_547_548_2_548_550_551_5_940_940_,0_1_2_6_7_8_10_11_12_16_17_18_20_21_22_26_30_31_32_200_,100_100_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_0_
9,1,940_5_551_550_4_550_549_3_549_547_1_547_548_2_548_550_551_5_940_940_,0_1_2_6_7_8_10_11_12_16_17_18_20_21_22_26_30_31_32_200_,100_100_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_0_
10,1,940_5_551_550_4_550_549_3_549_547_1_547_548_2_548_550_551_5_940_940_,0_1_2_6_7_8_10_11_12_16_17_18_20_21_22_26_30_31_32_200_,100_100_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_0_
11,1,940_5_551_550_4_550_549_3_549_547_1_547_548_2_548_550_551_5_940_940_,0_1_2_6_7_8_10_11_12_16_17_18_20_21_22_26_30_31_32_200_,100_100_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_0_
12,1,940_5_551_550_4_550_549_3_549_547_1_547_548_2_548_550_551_5_940_940_,0_1_2_6_7_8_10_11_12_16_17_18_20_21_22_26_30_31_32_200_,100_100_80_80_80_60_60_60_40_40_40_20_20_20_0_0_0_0_0_0_
