iteration,vehicle_id,path_space_seq,path_time_seq,path_state_seq
1,1,30_5_30_30_,0_1_2_100_,50_50_50_50_
1,2,30_5_30_30_,0_1_2_100_,50_50_50_50_
2,1,30_5_30_30_,0_1_2_100_,50_50_50_50_
2,2,30_5_30_30_,0_1_2_100_,50_50_50_50_
3,1,30_5_30_30_,0_1_2_100_,50_50_50_50_
3,2,30_5_30_30_,0_1_2_100_,50_50_50_50_
4,1,30_5_30_30_,0_1_2_100_,50_50_50_50_
4,2,30_5_30_30_,0_1_2_100_,50_50_50_50_
5,1,30_5_30_30_,0_1_2_100_,50_50_50_50_
5,2,30_5_30_30_,0_1_2_100_,50_50_50_50_
6,1,30_5_30_30_,0_1_2_100_,50_50_50_50_
6,2,30_5_30_30_,0_1_2_100_,50_50_50_50_
7,1,30_5_30_30_,0_1_2_100_,50_50_50_50_
7,2,30_5_30_30_,0_1_2_100_,50_50_50_50_
8,1,30_5_30_30_,0_1_2_100_,50_50_50_50_
8,2,30_5_30_30_,0_1_2_100_,50_50_50_50_
9,1,30_5_30_30_,0_1_2_100_,50_50_50_50_
9,2,30_5_30_30_,0_1_2_100_,50_50_50_50_
10,1,30_5_30_30_,0_1_2_100_,50_50_50_50_
10,2,30_5_30_30_,0_1_2_100_,50_50_50_50_
11,1,30_5_30_30_,0_1_2_100_,50_50_50_50_
11,2,30_5_30_30_,0_1_2_100_,50_50_50_50_
12,1,30_5_30_30_,0_1_2_100_,50_50_50_50_
12,2,30_5_30_30_,0_1_2_100_,50_50_50_50_
13,1,30_5_30_30_,0_1_2_100_,50_50_50_50_
13,2,30_5_30_30_,0_1_2_100_,50_50_50_50_
14,1,30_5_30_30_,0_1_2_100_,50_50_50_50_
14,2,30_5_30_30_,0_1_2_100_,50_50_50_50_
15,1,30_5_30_30_,0_1_2_100_,50_50_50_50_
15,2,30_5_30_30_,0_1_2_100_,50_50_50_50_
16,1,30_5_30_30_,0_1_2_100_,50_50_50_50_
16,2,30_5_30_30_,0_1_2_100_,50_50_50_50_
17,1,30_5_30_30_,0_1_2_100_,50_50_50_50_
17,2,30_5_30_30_,0_1_2_100_,50_50_50_50_
18,1,30_5_30_30_,0_1_2_100_,50_50_50_50_
18,2,30_5_30_30_,0_1_2_100_,50_50_50_50_
19,1,30_5_30_30_,0_1_2_100_,50_50_50_50_
19,2,30_5_30_30_,0_1_2_100_,50_50_50_50_
20,1,30_5_30_30_,0_1_2_100_,50_50_50_50_
20,2,30_5_30_30_,0_1_2_100_,50_50_50_50_
21,1,30_5_30_30_,0_1_2_100_,50_50_50_50_
21,2,30_5_30_30_,0_1_2_100_,50_50_50_50_
22,1,30_5_30_30_,0_1_2_100_,50_50_50_50_
22,2,30_5_30_30_,0_1_2_100_,50_50_50_50_
23,1,30_5_4_3_1_2_6_8_7_8_6_5_30_30_,0_1_3_7_11_17_22_24_27_30_32_36_37_100_,50_50_50_30_30_10_10_10_10_0_0_0_0_0_
23,2,30_5_30_30_,0_1_2_100_,50_50_50_50_
24,1,30_5_9_10_15_19_20_18_7_8_6_5_30_30_,0_1_6_9_15_18_22_26_28_31_33_37_38_100_,50_50_50_50_30_30_30_10_10_0_0_0_0_0_
24,2,30_5_4_3_4_5_30_30_,0_1_3_7_11_13_14_100_,50_50_50_30_30_30_30_30_
25,1,30_5_9_10_15_19_20_18_7_8_6_5_30_30_,0_1_6_9_15_18_22_26_28_31_33_37_38_100_,50_50_50_50_30_30_30_10_10_0_0_0_0_0_
25,2,30_5_4_3_1_2_6_8_7_8_6_5_30_30_,0_1_3_7_11_17_22_24_27_30_32_36_37_100_,50_50_50_30_30_10_10_10_10_0_0_0_0_0_
26,1,30_5_9_10_15_19_20_18_7_8_6_5_30_30_,0_1_6_9_15_18_22_26_28_31_33_37_38_100_,50_50_50_50_30_30_30_10_10_0_0_0_0_0_
26,2,30_5_4_3_1_2_6_5_30_30_,0_1_3_7_11_17_22_26_27_100_,50_50_50_30_30_10_10_10_10_10_
27,1,30_5_9_10_15_19_20_18_7_8_6_5_30_30_,0_1_6_9_15_18_22_26_28_31_33_37_38_100_,50_50_50_50_30_30_30_10_10_0_0_0_0_0_
27,2,30_5_30_30_,0_1_2_100_,50_50_50_50_
28,1,30_5_4_3_1_2_6_8_7_8_6_5_30_30_,0_1_3_7_11_17_22_24_27_30_32_36_37_100_,50_50_50_30_30_10_10_10_10_0_0_0_0_0_
28,2,30_5_9_10_15_19_20_18_7_8_6_5_30_30_,0_1_6_9_15_18_22_26_28_31_33_37_38_100_,50_50_50_50_30_30_30_10_10_0_0_0_0_0_
29,1,30_5_4_3_1_2_6_5_30_30_,0_1_3_7_11_17_22_26_27_100_,50_50_50_30_30_10_10_10_10_10_
