iteration,vehicle_id,path_space_seq,path_time_seq,path_state_seq
1,1,20_5_20_20_,0_1_2_30_,50_50_50_50_
1,2,20_5_20_20_,0_1_2_30_,50_50_50_50_
1,3,20_5_20_20_,0_1_2_30_,50_50_50_50_
1,4,20_5_20_20_,0_1_2_30_,50_50_50_50_
1,5,20_5_20_20_,0_1_2_30_,50_50_50_50_
2,1,20_5_6_3_4_2_5_20_20_,0_1_2_3_5_7_8_9_30_,50_50_40_30_20_10_0_0_0_
2,2,20_5_6_4_3_1_9_5_20_20_,0_1_2_3_5_7_7_8_9_30_,50_50_40_30_20_10_10_10_10_10_
2,3,20_5_20_20_,0_1_2_30_,50_50_50_50_
2,4,20_5_20_20_,0_1_2_30_,50_50_50_50_
2,5,20_5_20_20_,0_1_2_30_,50_50_50_50_
3,1,20_5_17_6_3_4_2_4_13_2_5_20_20_,0_1_1_2_3_5_7_9_9_11_12_13_30_,50_50_50_50_40_30_20_10_10_10_0_0_0_
3,2,20_5_17_6_3_1_5_20_20_,0_1_1_2_3_5_6_7_30_,50_50_50_50_40_30_0_0_0_
3,3,20_5_6_4_2_1_9_5_20_20_,0_1_2_3_5_7_7_8_9_30_,50_50_40_30_20_0_0_0_0_0_
3,4,20_5_20_20_,0_1_2_30_,50_50_50_50_
3,5,20_5_20_20_,0_1_2_30_,50_50_50_50_
4,1,20_5_17_6_18_3_1_2_5_20_20_,0_1_1_2_2_3_5_7_8_9_30_,50_50_50_50_50_50_40_10_0_0_0_
4,2,20_5_17_6_19_4_3_1_5_20_20_,0_1_1_2_2_3_5_7_8_9_30_,50_50_50_50_50_50_40_30_0_0_0_
4,3,20_5_17_6_4_13_2_1_3_15_1_9_5_20_20_,0_1_1_2_3_3_5_7_9_9_11_11_12_13_30_,50_50_50_50_40_40_40_20_0_0_0_0_0_0_0_
4,4,20_5_20_20_,0_1_2_30_,50_50_50_50_
4,5,20_5_20_20_,0_1_2_30_,50_50_50_50_
5,1,20_5_6_3_4_2_5_20_20_,0_1_2_3_5_7_8_9_30_,50_50_40_30_20_10_0_0_0_
5,2,20_5_17_6_4_2_4_3_1_9_5_20_20_,0_1_1_2_3_5_7_9_11_11_12_13_30_,50_50_50_50_40_30_20_10_0_0_0_0_0_
5,3,20_5_6_3_15_1_5_20_20_,0_1_2_3_3_5_6_7_30_,50_50_40_30_30_30_0_0_0_
5,4,20_5_17_6_18_3_15_1_2_1_9_5_20_20_,0_1_1_2_2_3_3_5_7_9_9_10_11_30_,50_50_50_50_50_50_50_50_20_0_0_0_0_0_
5,5,20_5_17_6_18_3_15_1_3_15_1_5_20_20_,0_1_1_2_2_3_3_5_7_7_9_10_11_30_,50_50_50_50_50_50_50_50_30_30_30_0_0_0_
6,1,20_5_17_6_4_3_4_13_2_4_13_2_5_20_20_,0_1_1_2_3_5_7_7_9_11_11_13_14_15_30_,50_50_50_50_40_30_20_20_20_10_10_10_0_0_0_
6,2,20_5_20_20_,0_1_2_30_,50_50_50_50_
6,3,20_5_20_20_,0_1_2_30_,50_50_50_50_
6,4,20_5_17_6_18_3_1_2_5_20_20_,0_1_1_2_2_3_5_7_8_9_30_,50_50_50_50_50_50_40_10_0_0_0_
6,5,20_5_17_6_19_4_2_1_3_15_1_9_5_20_20_,0_1_1_2_2_3_5_7_9_9_11_11_12_13_30_,50_50_50_50_50_50_40_20_0_0_0_0_0_0_0_
7,1,20_5_6_3_4_13_2_4_3_15_1_9_5_20_20_,0_1_2_3_5_5_7_9_11_11_13_13_14_15_30_,50_50_40_30_20_20_20_10_0_0_0_0_0_0_0_
7,2,20_5_6_3_15_1_5_20_20_,0_1_2_3_3_5_6_7_30_,50_50_40_30_30_30_0_0_0_
7,3,20_5_17_6_4_3_15_1_5_20_20_,0_1_1_2_3_5_5_7_8_9_30_,50_50_50_50_40_30_30_30_0_0_0_
7,4,20_5_17_6_18_3_1_2_5_20_20_,0_1_1_2_2_3_5_7_8_9_30_,50_50_50_50_50_50_40_10_0_0_0_
7,5,20_5_17_6_19_4_2_1_3_15_1_9_5_20_20_,0_1_1_2_2_3_5_7_9_9_11_11_12_13_30_,50_50_50_50_50_50_40_20_0_0_0_0_0_0_0_
8,1,20_5_17_6_18_3_4_13_2_4_13_2_1_9_5_20_20_,0_1_1_2_2_3_5_5_7_9_9_11_13_13_14_15_30_,50_50_50_50_50_50_40_40_40_30_30_30_10_10_10_10_10_
8,2,20_5_20_20_,0_1_2_30_,50_50_50_50_
8,3,20_5_17_6_4_3_15_1_5_20_20_,0_1_1_2_3_5_5_7_8_9_30_,50_50_50_50_40_30_30_30_0_0_0_
8,4,20_5_17_6_18_3_1_2_5_20_20_,0_1_1_2_2_3_5_7_8_9_30_,50_50_50_50_50_50_40_10_0_0_0_
8,5,20_5_17_6_3_15_1_3_4_2_12_5_20_20_,0_1_1_2_3_3_5_7_9_11_11_12_13_30_,50_50_50_50_40_40_40_20_10_0_0_0_0_0_
9,1,20_5_6_4_13_2_4_13_2_1_9_5_20_20_,0_1_2_3_3_5_7_7_9_11_11_12_13_30_,50_50_40_30_30_30_20_20_20_0_0_0_0_0_
9,2,20_5_20_20_,0_1_2_30_,50_50_50_50_
9,3,20_5_20_20_,0_1_2_30_,50_50_50_50_
9,4,20_5_17_6_18_3_1_2_5_20_20_,0_1_1_2_2_3_5_7_8_9_30_,50_50_50_50_50_50_40_10_0_0_0_
9,5,20_5_6_4_3_15_1_3_15_1_9_5_20_20_,0_1_2_3_5_5_7_9_9_11_11_12_13_30_,50_50_40_30_20_20_20_0_0_0_0_0_0_0_
10,1,20_5_17_6_3_4_2_4_13_2_12_5_20_20_,0_1_1_2_3_5_7_9_9_11_11_12_13_30_,50_50_50_50_40_30_20_10_10_10_10_10_10_10_
10,2,20_5_17_6_19_4_13_2_1_5_20_20_,0_1_1_2_2_3_3_5_7_8_9_30_,50_50_50_50_50_50_50_50_30_0_0_0_
10,3,20_5_20_20_,0_1_2_30_,50_50_50_50_
10,4,20_5_17_6_18_3_1_2_5_20_20_,0_1_1_2_2_3_5_7_8_9_30_,50_50_50_50_50_50_40_10_0_0_0_
10,5,20_5_6_4_3_15_1_3_15_1_9_5_20_20_,0_1_2_3_5_5_7_9_9_11_11_12_13_30_,50_50_40_30_20_20_20_0_0_0_0_0_0_0_
11,1,20_5_17_6_3_4_2_4_13_2_12_5_20_20_,0_1_1_2_3_5_7_9_9_11_11_12_13_30_,50_50_50_50_40_30_20_10_10_10_10_10_10_10_
11,2,20_5_17_6_19_4_13_2_1_5_20_20_,0_1_1_2_2_3_3_5_7_8_9_30_,50_50_50_50_50_50_50_50_30_0_0_0_
11,3,20_5_20_20_,0_1_2_30_,50_50_50_50_
11,4,20_5_17_6_18_3_1_2_5_20_20_,0_1_1_2_2_3_5_7_8_9_30_,50_50_50_50_50_50_40_10_0_0_0_
11,5,20_5_6_4_3_15_1_3_15_1_9_5_20_20_,0_1_2_3_5_5_7_9_9_11_11_12_13_30_,50_50_40_30_20_20_20_0_0_0_0_0_0_0_
12,1,20_5_17_6_3_4_2_4_13_2_12_5_20_20_,0_1_1_2_3_5_7_9_9_11_11_12_13_30_,50_50_50_50_40_30_20_10_10_10_10_10_10_10_
12,2,20_5_17_6_19_4_13_2_1_5_20_20_,0_1_1_2_2_3_3_5_7_8_9_30_,50_50_50_50_50_50_50_50_30_0_0_0_
12,3,20_5_20_20_,0_1_2_30_,50_50_50_50_
12,4,20_5_17_6_18_3_1_2_5_20_20_,0_1_1_2_2_3_5_7_8_9_30_,50_50_50_50_50_50_40_10_0_0_0_
12,5,20_5_6_4_3_15_1_3_15_1_9_5_20_20_,0_1_2_3_5_5_7_9_9_11_11_12_13_30_,50_50_40_30_20_20_20_0_0_0_0_0_0_0_
13,1,20_5_17_6_3_4_2_4_13_2_12_5_20_20_,0_1_1_2_3_5_7_9_9_11_11_12_13_30_,50_50_50_50_40_30_20_10_10_10_10_10_10_10_
13,2,20_5_17_6_19_4_13_2_1_5_20_20_,0_1_1_2_2_3_3_5_7_8_9_30_,50_50_50_50_50_50_50_50_30_0_0_0_
13,3,20_5_20_20_,0_1_2_30_,50_50_50_50_
13,4,20_5_17_6_18_3_1_2_5_20_20_,0_1_1_2_2_3_5_7_8_9_30_,50_50_50_50_50_50_40_10_0_0_0_
13,5,20_5_6_4_3_15_1_3_15_1_9_5_20_20_,0_1_2_3_5_5_7_9_9_11_11_12_13_30_,50_50_40_30_20_20_20_0_0_0_0_0_0_0_
